Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2003;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.19;Años;
2003;Indice sintético de fecundidad;Otros;;;1.32;Índice;
2003;Crecimiento vegetativo;Otros;;;25620;Número;
2003;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.26;Porcentaje;
2003;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.52;Porcentaje;
2003;Proporción de nacimientos de madre casada;Otros;;;74.70;Porcentaje;
2003;Edad media de la madre extranjera;Otros;;;28.57;Porcentaje;
2003;Edad media de la madre española;Otros;;;32.29;Porcentaje;
2003;Tasa bruta de natalidad;Otros;;;11.64;Tasa;
2003;Tasa general de fecundidad;Otros;;;42.24;Tasa;
2004;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.58;Años;
2004;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.08;Años;
2004;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.32;Años;
2004;Edad media de la madre;Otros;;;31.71;Años;
2004;Indice sintético de fecundidad;Otros;;;1.33;Índice;
2004;Crecimiento vegetativo;Otros;;;28741;Número;
2004;Proporción de nacimientos de madre casada;Otros;;;73.49;Porcentaje;
2004;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;52.03;Porcentaje;
2004;Edad media de la madre extranjera;Otros;;;28.75;Porcentaje;
2004;Edad media de la madre española;Otros;;;32.45;Porcentaje;
2004;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;103.45;Porcentaje;
2004;Tasa bruta de natalidad;Otros;;;11.73;Tasa;
2004;Tasa general de fecundidad;Otros;;;42.78;Tasa;
2005;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.44;Años;
2005;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.16;Años;
2005;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.66;Años;
2005;Edad media de la madre;Otros;;;31.84;Años;
2005;Indice sintético de fecundidad;Otros;;;1.32;Índice;
2005;Crecimiento vegetativo;Otros;;;28526;Número;
2005;Edad media de la madre extranjera;Otros;;;28.99;Porcentaje;
2005;Edad media de la madre española;Otros;;;32.61;Porcentaje;
2005;Proporción de nacimientos de madre casada;Otros;;;72.44;Porcentaje;
2005;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.05;Porcentaje;
2005;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;104.28;Porcentaje;
2005;Tasa general de fecundidad;Otros;;;42.52;Tasa;
2005;Tasa bruta de natalidad;Otros;;;11.59;Tasa;
2006;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.35;Años;
2006;Edad media de la madre;Otros;;;31.90;Años;
2006;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.43;Años;
2006;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.67;Años;
2006;Indice sintético de fecundidad;Otros;;;1.37;Índice;
2006;Crecimiento vegetativo;Otros;;;32062;Número;
2006;Proporción de nacimientos de madre casada;Otros;;;70.88;Porcentaje;
2006;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.46;Porcentaje;
2006;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.03;Porcentaje;
2006;Edad media de la madre española;Otros;;;32.76;Porcentaje;
2006;Edad media de la madre extranjera;Otros;;;28.96;Porcentaje;
2006;Tasa general de fecundidad;Otros;;;43.87;Tasa;
2006;Tasa bruta de natalidad;Otros;;;11.90;Tasa;
2007;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.22;Años;
2007;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.59;Años;
2007;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.42;Años;
2007;Edad media de la madre;Otros;;;31.93;Años;
2007;Indice sintético de fecundidad;Otros;;;1.40;Índice;
2007;Crecimiento vegetativo;Otros;;;33447;Número;
2007;Edad media de la madre española;Otros;;;32.97;Porcentaje;
2007;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.43;Porcentaje;
2007;Proporción de nacimientos de madre casada;Otros;;;68.64;Porcentaje;
2007;Edad media de la madre extranjera;Otros;;;28.92;Porcentaje;
2007;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.88;Porcentaje;
2007;Tasa general de fecundidad;Otros;;;44.70;Tasa;
2007;Tasa bruta de natalidad;Otros;;;12.12;Tasa;
2008;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.29;Años;
2008;Edad media de la madre al nacimiento del primer hijo;Otros;;;30.64;Años;
2008;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.61;Años;
2008;Edad media de la madre;Otros;;;32.01;Años;
2008;Indice sintético de fecundidad;Otros;;;1.45;Índice;
2008;Crecimiento vegetativo;Otros;;;37471;Número;
2008;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.38;Porcentaje;
2008;Edad media de la madre española;Otros;;;33.11;Porcentaje;
2008;Edad media de la madre extranjera;Otros;;;29.05;Porcentaje;
2008;Proporción de nacimientos de madre casada;Otros;;;67.00;Porcentaje;
2008;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.68;Porcentaje;
2008;Tasa bruta de natalidad;Otros;;;12.44;Tasa;
2008;Tasa general de fecundidad;Otros;;;46.16;Tasa;
2009;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.76;Años;
2009;Edad media de la madre al nacimiento del primer hijo;Otros;;;31.10;Años;
2009;Edad media de la madre;Otros;;;32.36;Años;
2009;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.60;Años;
2009;Indice sintético de fecundidad;Otros;;;1.40;Índice;
2009;Crecimiento vegetativo;Otros;;;34627;Número;
2009;Edad media de la madre extranjera;Otros;;;29.62;Porcentaje;
2009;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.73;Porcentaje;
2009;Edad media de la madre española;Otros;;;33.33;Porcentaje;
2009;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;107.16;Porcentaje;
2009;Proporción de nacimientos de madre casada;Otros;;;66.28;Porcentaje;
2009;Tasa bruta de natalidad;Otros;;;11.82;Tasa;
2009;Tasa general de fecundidad;Otros;;;44.25;Tasa;
2010;Edad media de la madre al nacimiento del primer hijo;Otros;;;31.46;Años;
2010;Edad media de la madre al nacimiento del segundo hijo;Otros;;;33.73;Años;
2010;Edad media de la madre;Otros;;;32.65;Años;
2010;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.85;Años;
2010;Indice sintético de fecundidad;Otros;;;1.36;Índice;
2010;Crecimiento vegetativo;Otros;;;33248;Número;
2010;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.04;Porcentaje;
2010;Proporción de nacimientos de madre casada;Otros;;;66.53;Porcentaje;
2010;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.23;Porcentaje;
2010;Edad media de la madre española;Otros;;;33.57;Porcentaje;
2010;Edad media de la madre extranjera;Otros;;;29.95;Porcentaje;
2010;Tasa general de fecundidad;Otros;;;43.13;Tasa;
2010;Tasa bruta de natalidad;Otros;;;11.40;Tasa;
2011;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;35.05;Años;
2011;Edad media de la madre al nacimiento del segundo hijo;Otros;;;34.00;Años;
2011;Edad media de la madre;Otros;;;32.92;Años;
2011;Edad media de la madre al nacimiento del primer hijo;Otros;;;31.73;Años;
2011;Indice sintético de fecundidad;Otros;;;1.33;Índice;
2011;Crecimiento vegetativo;Otros;;;30409;Número;
2011;Proporción de nacimientos de madre casada;Otros;;;64.98;Porcentaje;
2011;Edad media de la madre extranjera;Otros;;;30.25;Porcentaje;
2011;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.37;Porcentaje;
